2016-17 Rank,Rank in the most recent five years,School Name,City,2016-17 Rating,Rating in the most recent five years
1/747,1/623,St Michael's Choir,Toronto,9.4,9.6
2/747,9/623,Abbey Park,Oakville,9.2,8.9
2/747,9/623,St Robert,Thornhill,9.2,8.9
4/747,2/623,Colonel By,Gloucester,9.1,9.2
4/747,4/623,St Therese of Lisieux,Richmond Hill,9.1,9
4/747,12/623,Ursula Franklin,Toronto,9.1,8.8
4/747,n/a,Ange-Gabriel,Brockville,9.1,n/a
4/747,n/a,Confédération,Welland,9.1,n/a
9/747,4/623,Bayview,Richmond Hill,9,9
9/747,22/623,St Joseph's,Renfrew,9,8.5
11/747,3/623,London Central,London,8.9,9.1
11/747,4/623,Markville,Markham,8.9,9
11/747,9/623,Oakville Trafalgar,Oakville,8.9,8.9
11/747,20/623,St Michael,Kemptville,8.9,8.6
11/747,104/623,Marie-Rivier,Kingston,8.9,7.5
11/747,n/a,Wali ul Asr,Caledon,8.9,n/a
17/747,4/623,Unionville,Unionville,8.8,9
17/747,12/623,St Augustine,Markham,8.8,8.8
19/747,4/623,Pierre Elliott Trudeau,Markham,8.7,9
19/747,12/623,Richmond Hill,Richmond Hill,8.7,8.8
19/747,17/623,Cardinal Carter-Arts,Toronto,8.7,8.7
19/747,17/623,West Carleton,Dunrobin,8.7,8.7
19/747,22/623,Bloor,Toronto,8.7,8.5
19/747,n/a,John Fraser,Mississauga,8.7,n/a
25/747,12/623,Iroquois Ridge,Oakville,8.6,8.8
25/747,17/623,William Lyon Mackenzie,Toronto,8.6,8.7
25/747,20/623,Le Sommet,Hawkesbury,8.6,8.6
25/747,22/623,John McCrae,Nepean,8.6,8.5
25/747,22/623,St Marcellinus,Mississauga,8.6,8.5
25/747,32/623,Etobicoke-Arts,Toronto,8.6,8.4
25/747,32/623,ISNA,Mississauga,8.6,8.4
25/747,42/623,Holy Trinity,Kanata,8.6,8.1
33/747,22/623,De La Salle,Ottawa,8.5,8.5
33/747,22/623,Lawrence Park,Toronto,8.5,8.5
33/747,22/623,North Toronto,Toronto,8.5,8.5
33/747,38/623,Elmira,Elmira,8.5,8.2
33/747,42/623,Garth Webb,Oakville,8.5,8.1
33/747,n/a,The Woodlands,Mississauga,8.5,n/a
39/747,12/623,Bur Oak,Markham,8.4,8.8
39/747,42/623,Leaside,Toronto,8.4,8.1
39/747,n/a,de-Lamothe-Cadillac,Windsor,8.4,n/a
39/747,n/a,Nepean,Ottawa,8.4,n/a
43/747,36/623,St Joseph,Nepean,8.3,8.3
43/747,36/623,White Oaks,Oakville,8.3,8.3
43/747,42/623,Newmarket,Newmarket,8.3,8.1
43/747,61/623,Marymount,Sudbury,8.3,7.9
47/747,22/623,Earl Haig,Toronto,8.2,8.5
47/747,22/623,Earl of March,Kanata,8.2,8.5
47/747,32/623,St Aloysius Gonzaga,Mississauga,8.2,8.4
47/747,42/623,Nelson,Burlington,8.2,8.1
47/747,87/623,E L Crossley,Fonthill,8.2,7.6
47/747,120/623,Jeanne-Lajoie,Pembroke,8.2,7.4
47/747,n/a,A Y Jackson,Toronto,8.2,n/a
54/747,22/623,Middlefield,Markham,8.1,8.5
54/747,38/623,Humberside,Toronto,8.1,8.2
54/747,42/623,Bill Crothers,Unionville,8.1,8.1
54/747,70/623,Marc-Garneau,Trenton,8.1,7.8
54/747,136/623,Erin,Erin,8.1,7.3
59/747,42/623,Aurora,Aurora,8,8.1
59/747,42/623,Westmount,Thornhill,8,8.1
59/747,53/623,Agincourt,Toronto,8,8
59/747,61/623,Malvern,Toronto,8,7.9
59/747,61/623,St Anne,Tecumseh,8,7.9
59/747,70/623,Thomas A Blakelock,Oakville,8,7.8
59/747,104/623,Rosedale Heights-Arts,Toronto,8,7.5
59/747,120/623,Father Michael McGivney,Markham,8,7.4
59/747,n/a,Lisgar,Ottawa,8,n/a
68/747,32/623,Centennial,Guelph,7.9,8.4
68/747,38/623,Forest Hill,Toronto,7.9,8.2
68/747,38/623,Vincent Massey,Windsor,7.9,8.2
68/747,42/623,All Saints,Kanata,7.9,8.1
68/747,42/623,Thornhill,Thornhill,7.9,8.1
68/747,53/623,Father John Redmond,Toronto,7.9,8
68/747,53/623,St. Thomas Aquinas,Russell,7.9,8
68/747,61/623,Our Lady of Mount Carmel,Mississauga,7.9,7.9
68/747,78/623,John F Ross,Guelph,7.9,7.7
68/747,87/623,Lester B Pearson,Burlington,7.9,7.6
68/747,87/623,Waterloo,Waterloo,7.9,7.6
68/747,120/623,St Thomas of Villanova,LaSalle,7.9,7.4
68/747,148/623,South Carleton,Richmond,7.9,7.2
68/747,195/623,Charlottenburgh and Lancaster,Williamstown,7.9,6.9
68/747,214/623,Mother Teresa,London,7.9,6.8
68/747,n/a,Maurice-Lapointe,Kanata,7.9,n/a
84/747,61/623,St Benedict,Sudbury,7.8,7.9
84/747,61/623,Stratford Central,Stratford,7.8,7.9
84/747,70/623,Langstaff,Richmond Hill,7.8,7.8
84/747,70/623,Stephen Lewis,Thornhill,7.8,7.8
84/747,120/623,A.Y. Jackson,Kanata,7.8,7.4
84/747,136/623,Gisèle-Lalonde,Orléans,7.8,7.3
84/747,136/623,Holy Names,Windsor,7.8,7.3
84/747,136/623,Northern,Sarnia,7.8,7.3
84/747,136/623,Our Lady of Lourdes,Guelph,7.8,7.3
84/747,148/623,St Matthew,Orléans,7.8,7.2
84/747,n/a,Cawthra Park,Mississauga,7.8,n/a
84/747,n/a,Lorne Park,Mississauga,7.8,n/a
84/747,n/a,Sainte-Trinité,Oakville,7.8,n/a
97/747,42/623,Richmond Green,Richmond Hill,7.7,8.1
97/747,53/623,Richview,Toronto,7.7,8
97/747,53/623,Sacred Heart,Stittsville,7.7,8
97/747,70/623,Dr Norman Bethune,Toronto,7.7,7.8
97/747,70/623,Longfields Davidson Heights,Nepean,7.7,7.8
97/747,78/623,General Amherst,Amherstburg,7.7,7.7
97/747,87/623,Etobicoke,Toronto,7.7,7.6
97/747,87/623,Notre Dame,Toronto,7.7,7.6
97/747,87/623,W A Porter,Toronto,7.7,7.6
97/747,104/623,F J Brennan,Windsor,7.7,7.5
97/747,104/623,R H King,Toronto,7.7,7.5
97/747,148/623,Sir John A Macdonald,Toronto,7.7,7.2
97/747,166/623,Tecumseh Vista,Tecumseh,7.7,7.1
97/747,214/623,Centennial,Welland,7.7,6.8
97/747,405/623,Collège Français,Toronto,7.7,5.6
97/747,n/a,Canterbury,Ottawa,7.7,n/a
97/747,n/a,Gordon Graydon,Mississauga,7.7,n/a
97/747,n/a,Paul-Desmarais,Ottawa,7.7,n/a